,Id,ActivityDate,TotalTimeInBed,Id2,ActivityDay,StepTotal
0,1503960366,4/12/2016,346,1503960366,4/12/2016,13162
1,1503960366,4/13/2016,407,1503960366,4/13/2016,10735
2,1503960366,4/15/2016,442,1503960366,4/15/2016,9762
3,1503960366,4/16/2016,367,1503960366,4/16/2016,12669
4,1503960366,4/17/2016,712,1503960366,4/17/2016,9705
5,1503960366,4/19/2016,320,1503960366,4/19/2016,15506
6,1503960366,4/20/2016,377,1503960366,4/20/2016,10544
7,1503960366,4/21/2016,364,1503960366,4/21/2016,9819
8,1503960366,4/23/2016,384,1503960366,4/23/2016,14371
9,1503960366,4/24/2016,449,1503960366,4/24/2016,10039
10,1503960366,4/25/2016,323,1503960366,4/25/2016,15355
11,1503960366,4/26/2016,274,1503960366,4/26/2016,13755
12,1503960366,4/28/2016,393,1503960366,4/28/2016,13154
13,1503960366,4/29/2016,354,1503960366,4/29/2016,11181
14,1503960366,4/30/2016,425,1503960366,4/30/2016,14673
15,1503960366,5/10/2016,403,1503960366,5/10/2016,12207
16,1503960366,5/11/2016,306,1503960366,5/11/2016,12770
17,1644430081,4/29/2016,127,1644430081,4/29/2016,3176
18,1644430081,4/30/2016,142,1644430081,4/30/2016,18213
19,1844505072,4/15/2016,961,1844505072,4/15/2016,3844
20,1844505072,4/30/2016,961,1844505072,4/30/2016,4014
21,1927972279,4/12/2016,775,1927972279,4/12/2016,678
22,1927972279,4/13/2016,422,1927972279,4/13/2016,356
23,1927972279,4/15/2016,499,1927972279,4/15/2016,980
24,1927972279,4/26/2016,315,1927972279,4/26/2016,3761
25,1927972279,4/28/2016,178,1927972279,4/28/2016,1675
26,2026352035,4/12/2016,546,2026352035,4/12/2016,4414
27,2026352035,4/13/2016,565,2026352035,4/13/2016,4993
28,2026352035,4/14/2016,568,2026352035,4/14/2016,3335
29,2026352035,4/15/2016,573,2026352035,4/15/2016,3821
30,2026352035,4/16/2016,567,2026352035,4/16/2016,2547
31,2026352035,4/17/2016,498,2026352035,4/17/2016,838
32,2026352035,4/19/2016,540,2026352035,4/19/2016,2424
33,2026352035,4/20/2016,510,2026352035,4/20/2016,7222
34,2026352035,4/21/2016,514,2026352035,4/21/2016,2467
35,2026352035,4/22/2016,545,2026352035,4/22/2016,2915
36,2026352035,4/23/2016,554,2026352035,4/23/2016,12357
37,2026352035,4/24/2016,591,2026352035,4/24/2016,3490
38,2026352035,4/25/2016,531,2026352035,4/25/2016,6017
39,2026352035,4/27/2016,545,2026352035,4/27/2016,6088
40,2026352035,4/28/2016,545,2026352035,4/28/2016,6375
